Location,Score,TimeFrame,DataFormat,Data
Colorado,Math,2008,Percent,0.469
Colorado,Math,2009,Percent,0.499
Colorado,Math,2010,Percent,0.51
Colorado,Reading,2008,Percent,0.703
Colorado,Reading,2009,Percent,0.726
Colorado,Reading,2010,Percent,0.679
Colorado,Writing,2008,Percent,0.529
Colorado,Writing,2009,Percent,0.528
Colorado,Writing,2010,Percent,0.549
Colorado,Reading,2011,Percent,0.67
Colorado,Math,2011,Percent,0.513
Colorado,Math,2012,Percent,0.515
Colorado,Writing,2011,Percent,0.543
Colorado,Writing,2012,Percent,0.548
Colorado,Reading,2012,Percent,0.671
Colorado,Math,2013,Percent,0.51482
Colorado,Math,2014,Percent,0.52385
Colorado,Reading,2013,Percent,0.66888
Colorado,Reading,2014,Percent,0.66351
Colorado,Writing,2013,Percent,0.55788
Colorado,Writing,2014,Percent,0.56183
ACADEMY 20,Math,2008,Percent,0.64
ACADEMY 20,Math,2009,Percent,0.656
ACADEMY 20,Math,2010,Percent,0.672
ACADEMY 20,Reading,2008,Percent,0.843
ACADEMY 20,Reading,2009,Percent,0.825
ACADEMY 20,Reading,2010,Percent,0.863
ACADEMY 20,Writing,2008,Percent,0.734
ACADEMY 20,Writing,2009,Percent,0.701
ACADEMY 20,Writing,2010,Percent,0.754
ACADEMY 20,Reading,2011,Percent,0.83221
ACADEMY 20,Math,2011,Percent,0.65339
ACADEMY 20,Math,2012,Percent,0.68197
ACADEMY 20,Writing,2011,Percent,0.74579
ACADEMY 20,Writing,2012,Percent,0.73839
ACADEMY 20,Reading,2012,Percent,0.83352
ACADEMY 20,Math,2013,Percent,0.6613
ACADEMY 20,Math,2014,Percent,0.68496
ACADEMY 20,Reading,2013,Percent,0.85286
ACADEMY 20,Reading,2014,Percent,0.827
ACADEMY 20,Writing,2013,Percent,0.75069
ACADEMY 20,Writing,2014,Percent,0.74789
CANON CITY RE-1,Math,2008,Percent,0.545
CANON CITY RE-1,Reading,2008,Percent,0.739
CANON CITY RE-1,Writing,2008,Percent,N/A
CANON CITY RE-1,Reading,2009,Percent,0.615
CANON CITY RE-1,Writing,2009,Percent,N/A
CANON CITY RE-1,Math,2010,Percent,0.477
CANON CITY RE-1,Writing,2010,Percent,0.537
CANON CITY RE-1,Reading,2010,Percent,0.703
CANON CITY RE-1,Reading,2011,Percent,0.64765
CANON CITY RE-1,Math,2011,Percent,0.5
CANON CITY RE-1,Writing,2011,Percent,0.56376
CANON CITY RE-1,Math,2012,Percent,0.53968
CANON CITY RE-1,Reading,2012,Percent,0.7381
CANON CITY RE-1,Writing,2012,Percent,0.56349
CANON CITY RE-1,Math,2013,Percent,0.44867
CANON CITY RE-1,Reading,2013,Percent,0.6553
CANON CITY RE-1,Math,2014,Percent,0.39777
CANON CITY RE-1,Reading,2014,Percent,0.62454
CANON CITY RE-1,Writing,2013,Percent,0.5303
CANON CITY RE-1,Writing,2014,Percent,0.49071
BRIGGSDALE RE-10,Math,2008,Percent,N/A
BRIGGSDALE RE-10,Math,2009,Percent,N/A
BRIGGSDALE RE-10,Math,2010,Percent,0.688
BRIGGSDALE RE-10,Reading,2008,Percent,N/A
BRIGGSDALE RE-10,Reading,2009,Percent,N/A
BRIGGSDALE RE-10,Reading,2010,Percent,1
BRIGGSDALE RE-10,Writing,2008,Percent,0.688
BRIGGSDALE RE-10,Writing,2009,Percent,0.537
BRIGGSDALE RE-10,Writing,2010,Percent,0.563
BRIGGSDALE RE-10,Reading,2011,Percent,N/A
BRIGGSDALE RE-10,Math,2011,Percent,N/A
BRIGGSDALE RE-10,Math,2012,Percent,N/A
BRIGGSDALE RE-10,Writing,2011,Percent,N/A
BRIGGSDALE RE-10,Writing,2012,Percent,N/A
BRIGGSDALE RE-10,Reading,2012,Percent,N/A
BRIGGSDALE RE-10,Math,2013,Percent,LNE
BRIGGSDALE RE-10,Math,2014,Percent,LNE
BRIGGSDALE RE-10,Reading,2013,Percent,LNE
BRIGGSDALE RE-10,Reading,2014,Percent,LNE
BRIGGSDALE RE-10,Writing,2013,Percent,LNE
BRIGGSDALE RE-10,Writing,2014,Percent,LNE
BRIGHTON 27J,Math,2008,Percent,0.291
BRIGHTON 27J,Math,2009,Percent,0.299
BRIGHTON 27J,Math,2010,Percent,0.35
BRIGHTON 27J,Reading,2008,Percent,0.517
BRIGHTON 27J,Reading,2009,Percent,0.545
BRIGHTON 27J,Reading,2010,Percent,0.618
BRIGHTON 27J,Writing,2008,Percent,N/A
BRIGHTON 27J,Writing,2009,Percent,N/A
BRIGHTON 27J,Writing,2010,Percent,0.431
BRIGHTON 27J,Reading,2011,Percent,0.61774
BRIGHTON 27J,Math,2011,Percent,0.3981
BRIGHTON 27J,Math,2012,Percent,0.44074
BRIGHTON 27J,Writing,2011,Percent,0.44984
BRIGHTON 27J,Writing,2012,Percent,0.42817
BRIGHTON 27J,Reading,2012,Percent,0.58202
BRIGHTON 27J,Math,2013,Percent,0.39407
BRIGHTON 27J,Math,2014,Percent,0.40049
BRIGHTON 27J,Reading,2013,Percent,0.5784
BRIGHTON 27J,Reading,2014,Percent,0.60658
BRIGHTON 27J,Writing,2013,Percent,0.43641
BRIGHTON 27J,Writing,2014,Percent,0.44938
BRUSH RE-2(J),Math,2008,Percent,0.296
BRUSH RE-2(J),Math,2009,Percent,0.495
BRUSH RE-2(J),Math,2010,Percent,0.438
BRUSH RE-2(J),Reading,2008,Percent,0.667
BRUSH RE-2(J),Reading,2009,Percent,0.629
BRUSH RE-2(J),Reading,2010,Percent,0.625
