Location,TimeFrame,DataFormat,Data
Colorado,2010,Percent,0.724
Colorado,2011,Percent,0.739
Colorado,2012,Percent,0.75354
Colorado,2013,Percent,0.769
Colorado,2014,Percent,0.773
ACADEMY 20,2010,Percent,0.895
ACADEMY 20,2011,Percent,0.895
ACADEMY 20,2012,Percent,0.88983
ACADEMY 20,2013,Percent,0.91373
ACADEMY 20,2014,Percent,0.898
CANON CITY RE-1,2010,Percent,0.695
CANON CITY RE-1,2011,Percent,0.736
CANON CITY RE-1,2012,Percent,0.675
CANON CITY RE-1,2013,Percent,0.71186
CANON CITY RE-1,2014,Percent,0.776
FAKE ISD, 2007, Percent, 1 
HARRISON 2,2010,Percent,0.67
HARRISON 2,2011,Percent,0.724
HARRISON 2,2012,Percent,0.74109
HARRISON 2,2013,Percent,0.77521
HARRISON 2,2014,Percent,0.776
HAXTUN RE-2J,2010,Percent,0.952
HAXTUN RE-2J,2011,Percent,0.92
HAXTUN RE-2J,2012,Percent,0.95238
HAXTUN RE-2J,2013,Percent,1
HAXTUN RE-2J,2014,Percent,0.923
HAYDEN RE-1,2010,Percent,0.952
HAYDEN RE-1,2011,Percent,1
HAYDEN RE-1,2012,Percent,0.92593
HAYDEN RE-1,2013,Percent,0.96875
HAYDEN RE-1,2014,Percent,0.964
HINSDALE COUNTY RE 1,2010,Percent,1
HINSDALE COUNTY RE 1,2011,Percent,1
HINSDALE COUNTY RE 1,2012,Percent,0.8
HINSDALE COUNTY RE 1,2013,Percent,1
HINSDALE COUNTY RE 1,2014,Percent,1
HI-PLAINS R-23,2010,Percent,0.929
HI-PLAINS R-23,2011,Percent,0.917
HI-PLAINS R-23,2012,Percent,0.85714
HI-PLAINS R-23,2013,Percent,1
HI-PLAINS R-23,2014,Percent,1
HOEHNE REORGANIZED 3,2010,Percent,0.864
HOEHNE REORGANIZED 3,2011,Percent,0.875
HOEHNE REORGANIZED 3,2012,Percent,0.95238
HOEHNE REORGANIZED 3,2013,Percent,1
