Location,TimeFrame,DataFormat,Data
Colorado,2007,Percent,0.39465
Colorado,2006,Percent,0.33677
Colorado,2005,Percent,0.27807
Colorado,2004,Percent,0.24014
Colorado,2008,Percent,0.5357
Colorado,2009,Percent,0.598
Colorado,2010,Percent,0.64019
Colorado,2011,Percent,0.672
Colorado,2012,Percent,0.695
Colorado,2013,Percent,0.70263
Colorado,2014,Percent,0.74118
ACADEMY 20,2007,Percent,0.39159
ACADEMY 20,2006,Percent,0.35364
ACADEMY 20,2005,Percent,0.26709
ACADEMY 20,2004,Percent,0.30201
ACADEMY 20,2008,Percent,0.38456
ACADEMY 20,2009,Percent,0.39
ACADEMY 20,2010,Percent,0.43628
ACADEMY 20,2011,Percent,0.489
ACADEMY 20,2012,Percent,0.47883
ACADEMY 20,2013,Percent,0.48774
ACADEMY 20,2014,Percent,0.49022
CANON CITY RE-1,2007,Percent,0.21756
CANON CITY RE-1,2006,Percent,0.11923
CANON CITY RE-1,2005,Percent,0.35254
CANON CITY RE-1,2004,Percent,0.30224
CANON CITY RE-1,2008,Percent,0.7658
CANON CITY RE-1,2009,Percent,0.98
CANON CITY RE-1,2010,Percent,0.99327
CANON CITY RE-1,2011,Percent,0.993
CANON CITY RE-1,2012,Percent,1
CANON CITY RE-1,2013,Percent,1
CANON CITY RE-1,2014,Percent,1
HARRISON 2,2007,Percent,0.13623
HAXTUN RE-2J,2007,Percent,1
HAYDEN RE-1,2007,Percent,0.96552
HINSDALE COUNTY RE 1,2007,Percent,0
HI-PLAINS R-23,2007,Percent,0
HOEHNE REORGANIZED 3,2007,Percent,0
HOLLY RE-3,2007,Percent,1
HOLYOKE RE-1J,2007,Percent,1
HUERFANO RE-1,2007,Percent,0
IDALIA SCHOOL DISTRICT RJ-3,2007,Percent,1
IGNACIO 11 JT,2007,Percent,0.98214
JEFFERSON COUNTY R-1,2007,Percent,0.4234
JOHNSTOWN-MILLIKEN RE-5J,2007,Percent,0
JULESBURG RE-1,2007,Percent,1
LITTLETON 6,2011,Percent,0.334
LONE STAR 101,2011,Percent,1
MANCOS RE-6,2011,Percent,1
MANITOU SPRINGS 14,2011,Percent,1
MANZANOLA 3J,2011,Percent,1
MAPLETON 1,2011,Percent,0.773
MC CLAVE RE-2,2011,Percent,1
MEEKER RE1,2011,Percent,0
MESA COUNTY VALLEY 51,2011,Percent,0.224
