Location,TimeFrame,DataFormat,Data
Colorado,2005-2009,Currency,56222
Colorado,2006-2010,Currency,56456
Colorado,2008-2012,Currency,58244
Colorado,2007-2011,Currency,57685
Colorado,2009-2013,Currency,58433
ACADEMY 20,2005-2009,Currency,85060
ACADEMY 20,2006-2010,Currency,85450
ACADEMY 20,2008-2012,Currency,89615
ACADEMY 20,2007-2011,Currency,88099
ACADEMY 20,2009-2013,Currency,89953
BETHUNE R-5,2005-2009,Currency,55313
BETHUNE R-5,2006-2010,Currency,57500
BETHUNE R-5,2008-2012,Currency,47143
BETHUNE R-5,2007-2011,Currency,52813
BETHUNE R-5,2009-2013,Currency,44821
CANON CITY RE-1,2005-2009,Currency,37804
CANON CITY RE-1,2006-2010,Currency,39493
CANON CITY RE-1,2008-2012,Currency,41743
CANON CITY RE-1,2007-2011,Currency,38480
CANON CITY RE-1,2009-2013,Currency,40240
CENTENNIAL R-1,2005-2009,Currency,18700
CENTENNIAL R-1,2006-2010,Currency,18980
CENTENNIAL R-1,2008-2012,Currency,21082
CENTENNIAL R-1,2007-2011,Currency,21447
CENTENNIAL R-1,2009-2013,Currency,22304
CENTER 26 JT,2005-2009,Currency,28147
CENTER 26 JT,2006-2010,Currency,28423
CENTER 26 JT,2008-2012,Currency,30665
CENTER 26 JT,2007-2011,Currency,29484
CENTER 26 JT,2009-2013,Currency,30994
CHERRY CREEK 5,2005-2009,Currency,68275
CHERRY CREEK 5,2006-2010,Currency,68168
CHERRY CREEK 5,2008-2012,Currency,70219
CHERRY CREEK 5,2007-2011,Currency,69309
CHERRY CREEK 5,2009-2013,Currency,70178
DENVER COUNTY 1,2005-2009,Currency,45438
DENVER COUNTY 1,2006-2010,Currency,45501
DENVER COUNTY 1,2008-2012,Currency,49091
DENVER COUNTY 1,2007-2011,Currency,47499
DENVER COUNTY 1,2009-2013,Currency,50313
