Location,TimeFrame,DataFormat,Data
Colorado,2009,Percent,0.216
Colorado,2011,Percent,0.224
Colorado,2012,Percent,0.22907
Colorado,2013,Percent,0.23178
Colorado,2014,Percent,0.23556
ACADEMY 20,2009,Percent,0.014
ACADEMY 20,2011,Percent,0.011
ACADEMY 20,2012,Percent,0.01072
ACADEMY 20,2013,Percent,0.01246
ACADEMY 20,2014,Percent,0.0273
BETHUNE R-5,2009,Percent,0.167
BETHUNE R-5,2011,Percent,0.143
BETHUNE R-5,2012,Percent,0.33835
BETHUNE R-5,2013,Percent,0.17424
BETHUNE R-5,2014,Percent,0.13675
CANON CITY RE-1,2009,Percent,0.413
CANON CITY RE-1,2011,Percent,0.502
CANON CITY RE-1,2012,Percent,0.42656
CANON CITY RE-1,2013,Percent,0.43096
CANON CITY RE-1,2014,Percent,0.4166
CENTENNIAL R-1,2009,Percent,1
CENTENNIAL R-1,2011,Percent,0.996
CENTENNIAL R-1,2012,Percent,1
CENTENNIAL R-1,2013,Percent,0.77404
CENTENNIAL R-1,2014,Percent,0.70136
CENTER 26 JT,2009,Percent,0.704
CENTER 26 JT,2011,Percent,0.727
CENTER 26 JT,2012,Percent,0.70947
CENTER 26 JT,2013,Percent,0.6347
CENTER 26 JT,2014,Percent,0.62866
DENVER COUNTY 1,2009,Percent,0.613
DENVER COUNTY 1,2011,Percent,0.634
DENVER COUNTY 1,2012,Percent,0.64272
DENVER COUNTY 1,2013,Percent,0.64185
DENVER COUNTY 1,2014,Percent,0.63233
EAST YUMA COUNTY RJ-2,2009,Percent,N/A
EAST YUMA COUNTY RJ-2,2011,Percent,N/A
EAST YUMA COUNTY RJ-2,2012,Percent,N/A
EAST YUMA COUNTY RJ-2,2013,Percent,N/A
EAST YUMA COUNTY RJ-2,2014,Percent,NA
